"DOCUMENT LOCATOR #","YEAR","CASE #","ROAD SYSTEM","COUNTY","MUNICIPALITY","CRASH DATE","POLICE DEPARTMENT NAME","DEPARTMENT TYPE","STATION","LOCATION","ROUTE #","SRI","MILEPOST","CROSS STREET","IS RAMP?","RAMP ROUTE","STATE","FIRST EVENT","SECOND EVENT","THIRD EVENT","FOURTH EVENT","MOST HARMFUL EVENT","OTHER PROPERTY DAMAGE"
"17902329","2017","B080-2017-00024A","Interstate","Morris","Hanover Township","1/3/2017","NEW JERSEY STATE POLICE","State Police","NETCONG - SQUAD","I-287","287 ","00000287__","39.700 ","","","","NJ","MV in Transport","Ran Off Road - Right","Traffic Sign Support ","","","DOT SERVICES SIGN OWNED BY THE STATE OF NJ"
"17900042","2017","B060-2017-00026A","Interstate","Passaic","Paterson City","1/2/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-80","80  ","00000080__","59.400 ","","","","NJ","Ran Off Road - Left","Concrete Traffic Barrier","","","",""
"17900670","2017","B080-2017-00009A","State Highway","Morris","Morris Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","NETCONG - SQUAD","NJ 24","24  ","00000024__","1.200  ","","","","NJ","MV in Transport","Ran Off Road - Right","Traffic Sign Support ","","",""
"17900692","2017","C060-2017-00012A","Interstate","Mercer","Robbinsville Township","1/1/2017","NEW JERSEY STATE POLICE","State Police","HAMILTON-SUB -","I-195","195 ","00000195__","7.000  ","","","","NJ","Guardrail Face","Guardrail Face","","","Guardrail Face",""
"17900112","2017","B130-2017-00023A","Interstate","Union","Springfield Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","SOMERVILLE - SQ","I-78","78  ","00000078__","48.800 ","","","","NJ","Ran Off Road - Left","Guardrail Face","","","Guardrail Face","5FT OF GUARDRAIL DAMAGE."
"17900087","2017","B060-2017-00022A","Interstate","Essex","Roseland Boro","1/2/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-280","280 ","00000280__","4.400  ","","","","NJ","Ran Off Road - Left","Concrete Traffic Barrier","","","Concrete Traffic Barrier",""
"17900247","2017","A310-2017-00020A","Interstate","Camden","Camden City","1/3/2017","NEW JERSEY STATE POLICE","State Police","BELLMAWR - SQUA","I-676","676 ","00000676__","0.400  ","","","","NJ","Ran Off Road - Right","Light Standard","Guardrail End","","Guardrail End","LAMPPOST/GUARDRAIL - NJ DOT P.O. BOX 600 TRENTON, NJ 08625-0600"
"17116231","2017","I-2017-000504","State Highway","Bergen","Paramus Boro","1/3/2017","PARAMUS PD","Municipal Police","","NJ 4","4   ","00000004__","3.890  ","SPRING VALLEY RD","","","NJ","Ran Off Road - Right","Guardrail Face","","","Guardrail Face","RT 4 WEST BOUND GUARD RAIL JUST PRIOR TO SPRING VALLEY ROAD OVERPASS AND IN FRO?"
"17196297","2017","17-00425","State Highway","Cumberland","Millville City","1/4/2017","MILLVILLE PD","Municipal Police","","NJ 49","49  ","00000049__","37.400 ","","F","WADE BLVD","NJ","Ran Off Road - Right","Traffic Sign Support ","","","","NO TURN SIGN"
"17102876","2017","170000444","State Highway","Middlesex","Edison Township","1/2/2017","EDISON TWP PD","Municipal Police","EDISON","US 1","1   ","00000001__","27.900 ","FOREST HAVEN BLVD","","","NJ","Concrete Traffic Barrier","Concrete Traffic Barrier","","","Concrete Traffic Barrier",""
"17900126","2017","C060-2017-00006A","State Highway","Mercer","Trenton City","1/1/2017","NEW JERSEY STATE POLICE","State Police","HAMILTON-SUB -","NJ 129","129 ","00000129__","2.400  ","","T","LAMBERTON RD","NJ","Concrete Traffic Barrier","Concrete Traffic Barrier","","","",""
"17910361","2017","B130-2017-00009A","Interstate","Union","Union Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","SOMERVILLE - SQ","I-78","78  ","00000078__","53.000 ","","T","GARDEN STATE PARKWAY","NJ","Guardrail Face","","","","Guardrail Face","10 FEET GUARDRAIL DAMAGE."
"17900094","2017","B060-2017-00036A","Interstate","Passaic","Paterson City","1/2/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-80","80  ","00000080__","59.400 ","","","","NJ","Ran Off Road - Left","Concrete Traffic Barrier","","","",""
"17900494","2017","A310-2017-00024A","State Highway","Gloucester","Deptford Township","1/3/2017","NEW JERSEY STATE POLICE","State Police","BELLMAWR - SQUA","NJ 42","42  ","00000042__","12.600 ","","","","NJ","Ran Off Road - Left","Guardrail Face","","","Guardrail Face","GUARDRAIL FACE. NJDOT: 1035 PARKWAY AVENUE, EWING TOWNSHIP, NJ 08618."
"17900497","2017","A310-2017-00033A","Interstate","Gloucester","West Deptford Township","1/4/2017","NEW JERSEY STATE POLICE","State Police","BELLMAWR - SQUA","I-295","295 ","00000295__","23.600 ","","","","NJ","MV in Transport","Concrete Traffic Barrier","","","Concrete Traffic Barrier",""
"17900643","2017","B060-2017-00090A","Interstate","Essex","Livingston Township","1/3/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-280","280 ","00000280__","6.500  ","","","","NJ","Equipment Failure","Ran Off Road - Right","Guardrail Face","","Guardrail Face","NJDOT 5 FEET GUARDRAIL DAMAGE."
"17108943","2017","17000057","State Highway","Hunterdon","Raritan Township","12/31/2016","RARITAN TWP PD (HUNTERDON)","Municipal Police","","US 202","202 ","00000202__","10.650 ","HART BLVD","","","PA","Ran Off Road - Right","Other Post, Pole, Support","","","","REFLECTOR SIGN DAMAGED"
"17109997","2017","17-000859","State Highway","Camden","Cherry Hill Township","1/3/2017","CHERRY HILL TWP PD","Municipal Police","","NJ 70","70  ","00000070__","1.040  ","","F","CUTHBERT BLVD","NJ","MV in Transport","Curb","Guardrail Face","","Curb",""
"17103665","2017","2017-000061","State Highway","Warren","Lopatcong Township","1/2/2017","LOPATCONG TWP PD","Municipal Police","","US 22","22  ","00000022__","2.070  ","SOUTH SIXTH STREET","","","CT","Curb","Guardrail Face","","","Guardrail Face","GUIDERAIL AND YELLOW & BLACK ARROW SIGN @ MP 2.07"
"17116217","2017","I-2017-000012","State Highway","Bergen","Paramus Boro","12/31/2016","PARAMUS PD","Municipal Police","","NJ 17","17  ","00000017__","15.610 ","I- 80 / E RIDGEWOOD AVE / W RIDGEWO","","","NJ","Concrete Traffic Barrier","Ran Off Road - Right","Traffic Sign Support ","","","DAMAGE TO CURB, GRASS, AND STREET SIGN LOCATED AT 685 ROUTE 17."
"17117393","2017","17-000800","State Highway","Camden","Cherry Hill Township","1/2/2017","CHERRY HILL TWP PD","Municipal Police","","NJ 70","70  ","00000070__","5.290  ","FRONTAGE RD / OLD CUTHBERT RD","","","NC","Concrete Traffic Barrier","Curb","Ran Off Road - Right","Guardrail Face","Guardrail Face","STRUCK CONCRETE BARRIER AND GUARD RAIL. NO VISIBLE DAMAGE TO EITHER OBJECT."
"17107632","2017","17000954","State Highway","Somerset","Green Brook Township","1/1/2017","GREEN BROOK PD","Municipal Police","","US 22","22  ","00000022__","42.160 ","ROUTE 529 / WASHINGTON AVE","","","NJ","Concrete Traffic Barrier","","","","Concrete Traffic Barrier",""
"17110162","2017","17-00178","State Highway","Essex","Nutley Township","1/1/2017","NUTLEY PD","Municipal Police","","NJ 21","21  ","00000021__","8.300  ","CR 646 / PARK AVE","","","NJ","Ran Off Road - Left","Concrete Traffic Barrier","","","Concrete Traffic Barrier","STRUCK CONCRETE DIVIDER NEAR M/M 8.3, SCUFF MARKS"
"17900288","2017","C060-2017-00024A","State Highway","Mercer","Trenton City","1/3/2017","NEW JERSEY STATE POLICE","State Police","HAMILTON-SUB -","NJ 29","29  ","00000029__","2.000  ","","","","NJ","Concrete Traffic Barrier","Guardrail Face","","","Concrete Traffic Barrier","GUARDRAIL DAMAGE AT MP 2.0, DOT NOTIFIED"
"17300239","2017","17000092","State Highway","Mercer","Trenton City","1/2/2017","TRENTON PD","Municipal Police","TRENTON","NJ 29","29  ","00000029__","5.830  ","PARKSIDE AVE","","","NJ","Concrete Traffic Barrier","","","","Concrete Traffic Barrier",""
"17367544","2017","I-2017-000091","State Highway","Middlesex","South Amboy City","1/3/2017","SOUTH AMBOY PD","Municipal Police","002-17","US 9","9   ","00000009__","130.460","","","","NJ","Other Post, Pole, Support","","","","Other Post, Pole, Support",""
"17367544","2017","I-2017-000091","State Highway","Middlesex","South Amboy City","1/3/2017","SOUTH AMBOY PD","Municipal Police","002-17","US 9","9   ","00000009__","130.460","","","","NJ","Other Post, Pole, Support","","","","Other Post, Pole, Support",""
"17367544","2017","I-2017-000091","State Highway","Middlesex","South Amboy City","1/3/2017","SOUTH AMBOY PD","Municipal Police","002-17","US 9","9   ","00000009__","130.460","","","","NJ","Other Post, Pole, Support","","","","Other Post, Pole, Support",""
"17367544","2017","I-2017-000091","State Highway","Middlesex","South Amboy City","1/3/2017","SOUTH AMBOY PD","Municipal Police","002-17","US 9","9   ","00000009__","130.460","","","","NJ","Other Post, Pole, Support","","","","Other Post, Pole, Support",""
"17367544","2017","I-2017-000091","State Highway","Middlesex","South Amboy City","1/3/2017","SOUTH AMBOY PD","Municipal Police","002-17","US 9","9   ","00000009__","130.460","","","","NJ","Other Post, Pole, Support","","","","Other Post, Pole, Support",""
"17900085","2017","B060-2017-00016A","Interstate","Passaic","Paterson City","1/2/2017","NEW JERSEY STATE POLICE","State Police","TOTOWA-SUB - SQ","I-80","80  ","00000080__","59.000 ","","","","FL","Ran Off Road - Left","Concrete Traffic Barrier","","","Concrete Traffic Barrier",""
"17103312","2017","2017-18","State Highway","Burlington","Mansfield Township","12/31/2016","MANSFIELD TWP PD (BURLINGTON)","Municipal Police","","US 206","206 ","00000206__","33.540 ","NJ 68","","","NY","Ran Off Road - Right","Fence","","","Fence","CHAIN-LINK FENCE/POST AT MANHEIM AUTO AUCTION, 730 ROUTE 68, BORDENTOWN, NJ 085?"
"17300233","2017","17000108","State Highway","Mercer","Trenton City","1/2/2017","TRENTON PD","Municipal Police","TRENTON","NJ 29","29  ","00000029__","5.360  ","PARKSIDE AVE","","","NJ","Guardrail Face","","","","","GUARD RAIL"
"17103413","2017","17-00135","State Highway","Essex","Cedar Grove Township","1/2/2017","CEDAR GROVE PD","Municipal Police","","NJ 23","23  ","00000023__","1.570  ","GRISSING CT","","","NJ","Other Fixed Object","Curb","Ran Off Road - Right","Utility Pole","Utility Pole","UTILITY POLE 60054CG (PSE&G)"
"17109921","2017","170000679","State Highway","Camden","Pennsauken Township","1/2/2017","PENNSAUKEN TWP PD","Municipal Police","06","NJ 38","38  ","00000038__","0.280  ","STRAND AVE","","","NJ","Concrete Traffic Barrier","","","","Concrete Traffic Barrier","A CONCRETE HALF WALL"
"17108137","2017","17000512","State Highway","Middlesex","Edison Township","1/3/2017","EDISON TWP PD","Municipal Police","","US 1","1   ","00000001__","32.820 ","PIERSON AVE","","","NJ","Bridge Rail","Bridge Rail","","","Bridge Rail","MINOR SCRAPES ON CONCREATE BARRIER"
"17105625","2017","16-000680","State Highway","Union","Union Township","1/2/2017","UNION TWP PD","Municipal Police","","US 22","22  ","00000022__","55.860 ","NJ 82 / MORRIS AVE","","","NJ","MV in Transport","Concrete Traffic Barrier","","","",""
"17117824","2017","1701040669","State Highway","Camden","Camden City","1/3/2017","CAMDEN COUNTY METRO POLICE","Municipal Police","NRT 5-4","US 30","30  ","00000030__","1.750  ","FLANDERS AVE","","","NJ","Concrete Traffic Barrier","Other Fixed Object","","","",""
"17104172","2017","17-68","State Highway","Hudson","Kearny Town","1/1/2017","KEARNY PD","Municipal Police","2ND PRECINCT","NJ 7","7   ","00000007__","0.670  ","CR 659 / FISH HOUSE RD","","","NJ","Guardrail Face","Crossed Median / Centerline","MV in Transport","Guardrail Face","",""
"17503096","2017","17000393","State Highway","Union","Linden City","1/3/2017","LINDEN PD","Municipal Police","LINDEN PD","US 1","1   ","00000001__","40.690 ","CR 615 / STILLES AVE","","","NJ","Other Fixed Object","","","","Other Fixed Object",""
"17117038","2017","17MT00374","State Highway","Monmouth","Middletown Township","1/4/2017","MIDDLETOWN PD","Municipal Police","","NJ 35","35  ","00000035__","38.690 ","HARMONY RD / KINGS HWY","","","NJ","MV in Transport","Curb","Guardrail Face","","MV in Transport",""
"17900248","2017","B020-2017-00002A","Interstate","Warren","Allamuchy Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","HOPE - SQUAD 1","I-80","80  ","00000080__","16.200 ","","","","PA","MV in Transport","Ran Off Road - Left","Guardrail Face","","Guardrail Face",""
"17900248","2017","B020-2017-00002A","Interstate","Warren","Allamuchy Township","1/2/2017","NEW JERSEY STATE POLICE","State Police","HOPE - SQUAD 1","I-80","80  ","00000080__","16.200 ","","","","PA","MV in Transport","Ran Off Road - Left","Guardrail Face","","Guardrail Face",""
"17134748","2017","P1700367617-636","State Highway","Essex","Newark City","1/3/2017","NEWARK PD","Municipal Police","E/","NJ 21","21  ","00000021__","2.330  ","RAYMOND BLVD","","","","Other Fixed Object","","","","",""
"17116957","2017","17-00160","State Highway","Somerset","Watchung Boro","1/2/2017","WATCHUNG PD","Municipal Police","","US 22","22  ","00000022__","46.510 ","TERRILL RD","","","NJ","MV in Transport","MV in Transport","Concrete Traffic Barrier","","MV in Transport","MINOR SCRATCHES TO BARRIER"
